station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
IND,2020-04-01 13:30,M,M,M,330.00,8.00,M,30.03,M,10.00,M,OVC,M,M,M,999.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011330Z AUTO 33008KT 10SM OVC009 05/03 A3003 RMK T00500030 MADISHF
IND,2020-04-01 13:35,M,M,M,340.00,5.00,M,30.04,M,10.00,M,OVC,M,M,M,999.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011335Z AUTO 34005KT 10SM OVC009 05/03 A3004 RMK T00500030 MADISHF
IND,2020-04-01 13:40,M,M,M,340.00,8.00,M,30.04,M,10.00,M,OVC,M,M,M,999.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011340Z AUTO 34008KT 10SM OVC009 05/03 A3004 RMK T00500030 MADISHF
IND,2020-04-01 13:45,M,M,M,360.00,7.00,M,30.04,M,10.00,M,OVC,M,M,M,999.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011345Z AUTO 36007KT 10SM OVC009 05/03 A3004 RMK T00500030 MADISHF
IND,2020-04-01 13:50,M,M,M,360.00,8.00,M,30.04,M,10.00,M,OVC,M,M,M,999.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011350Z AUTO 36008KT 10SM OVC009 06/03 A3004 RMK T00600030 MADISHF
IND,2020-04-01 13:54,42.10,37.90,84.93,350.00,6.00,0.00,30.04,1017.60,9.00,M,OVC,M,M,M,1000.00,M,M,M,M,M,M,M,M,M,M,37.69,KIND 011354Z 35006KT 9SM OVC010 06/03 A3004 RMK AO2 SLP176 T00560033
IND,2020-04-01 13:55,M,M,M,350.00,7.00,M,30.04,M,10.00,M,OVC,M,M,M,1100.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011355Z AUTO 35007KT 10SM OVC011 06/03 A3004 RMK T00600030 MADISHF
IND,2020-04-01 14:00,M,M,M,360.00,5.00,M,30.04,M,10.00,M,OVC,M,M,M,1100.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011400Z AUTO 36005KT 10SM OVC011 06/03 A3004 RMK T00600030 MADISHF
IND,2020-04-01 14:05,M,M,M,350.00,8.00,M,30.04,M,10.00,M,OVC,M,M,M,1100.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011405Z AUTO 35008KT 10SM OVC011 06/03 A3004 RMK T00600030 MADISHF
IND,2020-04-01 14:10,M,M,M,340.00,7.00,M,30.05,M,10.00,M,OVC,M,M,M,1100.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011410Z AUTO 34007KT 10SM OVC011 06/03 A3004 RMK T00600030 MADISHF
